x,y,prim,raw
11,172,LUT,SLICE_X11Y172
12,172,LUT,SLICE_X12Y172
13,172,LUT,SLICE_X13Y172
15,172,LUT,SLICE_X15Y172
17,172,LUT,SLICE_X17Y172
18,172,LUT,SLICE_X18Y172
21,172,LUT,SLICE_X21Y172
22,172,LUT,SLICE_X22Y172
23,172,LUT,SLICE_X23Y172
25,172,LUT,SLICE_X25Y172
26,172,LUT,SLICE_X26Y172
27,172,LUT,SLICE_X27Y172
30,172,LUT,SLICE_X30Y172
32,172,LUT,SLICE_X32Y172
33,172,LUT,SLICE_X33Y172
35,172,LUT,SLICE_X35Y172
36,172,LUT,SLICE_X36Y172
38,172,LUT,SLICE_X38Y172
41,172,LUT,SLICE_X41Y172
44,172,LUT,SLICE_X44Y172
46,172,LUT,SLICE_X46Y172
47,172,LUT,SLICE_X47Y172
0,171,LUT,SLICE_X0Y171
2,171,LUT,SLICE_X2Y171
3,171,LUT,SLICE_X3Y171
6,171,LUT,SLICE_X6Y171
7,171,LUT,SLICE_X7Y171
8,171,LUT,SLICE_X8Y171
10,171,LUT,SLICE_X10Y171
11,171,LUT,SLICE_X11Y171
12,171,LUT,SLICE_X12Y171
13,171,LUT,SLICE_X13Y171
15,171,LUT,SLICE_X15Y171
17,171,LUT,SLICE_X17Y171
18,171,LUT,SLICE_X18Y171
21,171,LUT,SLICE_X21Y171
22,171,LUT,SLICE_X22Y171
23,171,LUT,SLICE_X23Y171
25,171,LUT,SLICE_X25Y171
26,171,LUT,SLICE_X26Y171
27,171,LUT,SLICE_X27Y171
30,171,LUT,SLICE_X30Y171
32,171,LUT,SLICE_X32Y171
33,171,LUT,SLICE_X33Y171
35,171,LUT,SLICE_X35Y171
36,171,LUT,SLICE_X36Y171
38,171,LUT,SLICE_X38Y171
41,171,LUT,SLICE_X41Y171
44,171,LUT,SLICE_X44Y171
46,171,LUT,SLICE_X46Y171
47,171,LUT,SLICE_X47Y171
0,170,LUT,SLICE_X0Y170
2,170,LUT,SLICE_X2Y170
3,170,LUT,SLICE_X3Y170
6,170,LUT,SLICE_X6Y170
7,170,LUT,SLICE_X7Y170
8,170,LUT,SLICE_X8Y170
10,170,LUT,SLICE_X10Y170
11,170,LUT,SLICE_X11Y170
12,170,LUT,SLICE_X12Y170
13,170,LUT,SLICE_X13Y170
15,170,LUT,SLICE_X15Y170
17,170,LUT,SLICE_X17Y170
18,170,LUT,SLICE_X18Y170
21,170,LUT,SLICE_X21Y170
22,170,LUT,SLICE_X22Y170
23,170,LUT,SLICE_X23Y170
25,170,LUT,SLICE_X25Y170
26,170,LUT,SLICE_X26Y170
27,170,LUT,SLICE_X27Y170
30,170,LUT,SLICE_X30Y170
32,170,LUT,SLICE_X32Y170
33,170,LUT,SLICE_X33Y170
35,170,LUT,SLICE_X35Y170
36,170,LUT,SLICE_X36Y170
38,170,LUT,SLICE_X38Y170
41,170,LUT,SLICE_X41Y170
44,170,LUT,SLICE_X44Y170
46,170,LUT,SLICE_X46Y170
47,170,LUT,SLICE_X47Y170
0,169,LUT,SLICE_X0Y169
2,169,LUT,SLICE_X2Y169
3,169,LUT,SLICE_X3Y169
6,169,LUT,SLICE_X6Y169
7,169,LUT,SLICE_X7Y169
8,169,LUT,SLICE_X8Y169
10,169,LUT,SLICE_X10Y169
11,169,LUT,SLICE_X11Y169
12,169,LUT,SLICE_X12Y169
13,169,LUT,SLICE_X13Y169
15,169,LUT,SLICE_X15Y169
17,169,LUT,SLICE_X17Y169
18,169,LUT,SLICE_X18Y169
21,169,LUT,SLICE_X21Y169
22,169,LUT,SLICE_X22Y169
23,169,LUT,SLICE_X23Y169
25,169,LUT,SLICE_X25Y169
